dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
dblp,20,legacy_beam,rounds,156317,75494,156317,478521,174638,174638,174638,174638,1092,552,482,482,1853934,927528,4147496,2240,63.857868,65.805748,230.518787,268.455256,0.058500,0.122444
youtube,1,legacy_beam,rounds,1134890,572616,1134890,19889209,3758653,3758653,3758653,3758653,3596339,1311398,75046,75046,5303560,5303479,54541237,150092,622.812977,2506.428116,2899.301162,1204.186639,37.810409,8.574143
youtube,2,legacy_beam,rounds,1059844,543296,1059844,17576836,3346261,3346261,3346261,3346261,3041853,1521307,92287,92287,5257310,5139788,52018045,203598,539.423988,2326.297307,2722.691189,1319.202558,51.560450,12.874645
youtube,3,legacy_beam,rounds,967557,504394,967557,16052861,2888011,2888011,2888011,2888011,2435993,1398830,86778,86778,5234472,4931860,48849305,207583,606.748606,1948.288127,2337.689509,1121.520990,45.351839,11.829396
youtube,4,legacy_beam,rounds,880779,463019,880779,15291680,2504158,2504158,2504158,2504158,1939623,1235277,68995,68995,5237455,4743371,46991183,180126,508.565026,1764.458614,2125.151173,904.066728,37.929116,9.826893
youtube,5,legacy_beam,rounds,811784,438024,811784,12537274,2058389,2058389,2058389,2058389,1454412,998101,53495,53495,5100056,4452996,41937683,152006,503.201567,1374.617101,1686.812508,885.372789,28.971331,7.862735
youtube,6,legacy_beam,rounds,758289,408783,758289,12781563,1851179,1851179,1851179,1851179,1194172,864856,41892,41892,5236109,4443385,44351438,129828,417.938761,1344.460196,1636.446233,771.437070,23.623399,6.416488
youtube,7,legacy_beam,rounds,716397,396552,716397,11157090,1565470,1565470,1565470,1565470,928877,703274,32929,32929,5138147,4250601,39894832,110487,440.921894,1133.566673,1417.653600,734.983930,19.176879,5.438382
youtube,8,legacy_beam,rounds,683468,377632,683468,10594503,1449706,1449706,1449706,1449706,800694,646739,26658,26658,5184289,4204154,38204065,96668,383.578144,1065.179659,1326.106672,719.841838,14.232769,4.284447
youtube,9,legacy_beam,rounds,656810,368457,656810,10525217,1324434,1324434,1324434,1324434,702366,598134,21416,21416,5110325,4077898,36910080,82731,380.038788,1021.052013,1252.435785,669.972344,12.652969,3.597630
youtube,10,legacy_beam,rounds,635394,360563,635394,9599011,1182850,1182850,1182850,1182850,598428,523533,17968,17968,5074871,3997849,35467373,73489,345.817051,929.457102,1165.498627,656.845841,10.664214,3.125477
youtube,11,legacy_beam,rounds,617426,350294,617426,9710522,1154599,1154599,1154599,1154599,561905,502441,15746,15746,5098400,3975218,35067685,69061,338.496177,924.541123,1164.167149,642.308751,9.618343,2.798362
youtube,12,legacy_beam,rounds,601680,341410,601680,9213564,1093974,1093974,1093974,1093974,521780,480730,13819,13819,5064181,3905114,33026538,63498,334.193607,895.919480,1132.142070,605.986706,9.394397,2.531093
